serialno,sample_geog,age,race,sex,AGEP,SEX,RAC1P
2009000169229,1,20 to 35,white,male,25,1,1
2009000195437,1,20 to 35,white,male,20,1,1
2009000196204,1,20 to 35,white,male,24,1,1
2009000213770,1,20 to 35,white,male,31,1,1
2009000229631,1,20 to 35,white,male,24,1,1
2009000234127,1,20 to 35,white,male,20,1,1
2009000234292,1,20 to 35,white,male,32,1,1
2009000243783,1,20 to 35,white,male,21,1,1
2009000258540,1,20 to 35,white,male,21,1,1
2009000260375,1,20 to 35,white,male,22,1,1
2009000280020,1,20 to 35,white,male,25,1,1
2009000288822,1,20 to 35,white,male,24,1,1
2009000305891,1,20 to 35,white,male,30,1,1
2009000312653,1,20 to 35,white,male,27,1,1
2009000313809,1,20 to 35,white,male,22,1,1
2009000313813,1,20 to 35,white,male,20,1,1
2009000321132,1,20 to 35,white,male,21,1,1
2009000321132,1,20 to 35,white,male,26,1,1
2009000321132,1,20 to 35,white,male,24,1,1
2009000321132,1,20 to 35,white,male,23,1,1
2009000324961,1,20 to 35,white,male,21,1,1
2009000330554,1,20 to 35,white,male,34,1,1
2009000336798,1,20 to 35,white,male,22,1,1
2009000337333,1,20 to 35,white,male,31,1,1
2009000337962,1,20 to 35,white,male,20,1,1
2009000339500,1,20 to 35,white,male,32,1,1
2009000360380,1,20 to 35,white,male,28,1,1
2009000364650,1,20 to 35,white,male,33,1,1
2009000367879,1,20 to 35,white,male,35,1,1
2009000384221,1,20 to 35,white,male,32,1,1
2009000387970,1,20 to 35,white,male,34,1,1
2009000397787,1,20 to 35,white,male,32,1,1
2009000425542,1,20 to 35,white,male,21,1,1
2009000435634,1,20 to 35,white,male,28,1,1
2009000438818,1,20 to 35,white,male,33,1,1
2009000441591,1,20 to 35,white,male,32,1,1
2009000470482,1,20 to 35,white,male,20,1,1
2009000486697,1,20 to 35,white,male,33,1,1
2009000507765,1,20 to 35,white,male,26,1,1
2009000514149,1,20 to 35,white,male,24,1,1
2009000534043,1,20 to 35,white,male,30,1,1
2009000544634,1,20 to 35,white,male,29,1,1
2009000549857,1,20 to 35,white,male,28,1,1
2009000550396,1,20 to 35,white,male,34,1,1
2009000570019,1,20 to 35,white,male,29,1,1
2009000572568,1,20 to 35,white,male,28,1,1
2009000592443,1,20 to 35,white,male,29,1,1
2009000603081,1,20 to 35,white,male,25,1,1
2009000633790,1,20 to 35,white,male,28,1,1
2009000635040,1,20 to 35,white,male,32,1,1
2009000665878,1,20 to 35,white,male,20,1,1
2009000692229,1,20 to 35,white,male,34,1,1
2009000712747,1,20 to 35,white,male,34,1,1
2009000717564,1,20 to 35,white,male,21,1,1
2009000722669,1,20 to 35,white,male,24,1,1
2009000733311,1,20 to 35,white,male,24,1,1
2009000736484,1,20 to 35,white,male,32,1,1
2009000774305,1,20 to 35,white,male,28,1,1
2009000785207,1,20 to 35,white,male,20,1,1
2009000793430,1,20 to 35,white,male,24,1,1
2009000813284,1,20 to 35,white,male,26,1,1
2009000831145,1,20 to 35,white,male,20,1,1
2009000839783,1,20 to 35,white,male,26,1,1
2009000845688,1,20 to 35,white,male,22,1,1
2009000847250,1,20 to 35,white,male,26,1,1
2009000853064,1,20 to 35,white,male,33,1,1
2009000859108,1,20 to 35,white,male,28,1,1
2009000866325,1,20 to 35,white,male,31,1,1
2009000867824,1,20 to 35,white,male,34,1,1
2009000871264,1,20 to 35,white,male,35,1,1
2009000876400,1,20 to 35,white,male,25,1,1
2009000879670,1,20 to 35,white,male,32,1,1
2009000883086,1,20 to 35,white,male,34,1,1
2009000904870,1,20 to 35,white,male,35,1,1
2009000915924,1,20 to 35,white,male,26,1,1
2009000920829,1,20 to 35,white,male,21,1,1
2009000921099,1,20 to 35,white,male,23,1,1
2009000931078,1,20 to 35,white,male,34,1,1
2009000935074,1,20 to 35,white,male,22,1,1
2009000949422,1,20 to 35,white,male,21,1,1
2009000953680,1,20 to 35,white,male,21,1,1
2009000966322,1,20 to 35,white,male,23,1,1
2009000971512,1,20 to 35,white,male,24,1,1
2009000975912,1,20 to 35,white,male,27,1,1
2009000999792,1,20 to 35,white,male,21,1,1
2009001008572,1,20 to 35,white,male,21,1,1
2009001011692,1,20 to 35,white,male,30,1,1
2009001017709,1,20 to 35,white,male,28,1,1
2009001033211,1,20 to 35,white,male,28,1,1
2009001035707,1,20 to 35,white,male,21,1,1
2009001066105,1,20 to 35,white,male,23,1,1
2009001072711,1,20 to 35,white,male,23,1,1
2009001084093,1,20 to 35,white,male,23,1,1
2009001090642,1,20 to 35,white,male,32,1,1
2009001094838,1,20 to 35,white,male,27,1,1
2009001094838,1,20 to 35,white,male,27,1,1
2009001097062,1,20 to 35,white,male,20,1,1
2009001125769,1,20 to 35,white,male,28,1,1
2009001136839,1,20 to 35,white,male,29,1,1
2009001148574,1,20 to 35,white,male,35,1,1
2009001149302,1,20 to 35,white,male,21,1,1
2009001166736,1,20 to 35,white,male,21,1,1
2009001191472,1,20 to 35,white,male,35,1,1
2009001191565,1,20 to 35,white,male,28,1,1
2009001197214,1,20 to 35,white,male,23,1,1
2009001202887,1,20 to 35,white,male,31,1,1
2009001204966,1,20 to 35,white,male,24,1,1
2009001212002,1,20 to 35,white,male,23,1,1
2009001218969,1,20 to 35,white,male,29,1,1
2009001222848,1,20 to 35,white,male,33,1,1
2009001228592,1,20 to 35,white,male,21,1,1
2009001244453,1,20 to 35,white,male,26,1,1
2009001249807,1,20 to 35,white,male,32,1,1
2009001255030,1,20 to 35,white,male,25,1,1
2009001262708,1,20 to 35,white,male,28,1,1
2009001268220,1,20 to 35,white,male,35,1,1
2009001271175,1,20 to 35,white,male,27,1,1
2009001275910,1,20 to 35,white,male,32,1,1
2009001283396,1,20 to 35,white,male,35,1,1
2009001290005,1,20 to 35,white,male,32,1,1
2009001294122,1,20 to 35,white,male,30,1,1
2009001309232,1,20 to 35,white,male,25,1,1
2009001309232,1,20 to 35,white,male,24,1,1
2009001310084,1,20 to 35,white,male,35,1,1
2009001310826,1,20 to 35,white,male,20,1,1
2009001314678,1,20 to 35,white,male,30,1,1
2009001352553,1,20 to 35,white,male,23,1,1
2009001356862,1,20 to 35,white,male,29,1,1
2009001359712,1,20 to 35,white,male,21,1,1
2009001361042,1,20 to 35,white,male,25,1,1
2009001364015,1,20 to 35,white,male,21,1,1
2009001365653,1,20 to 35,white,male,31,1,1
2009001372506,1,20 to 35,white,male,20,1,1
2009001379582,1,20 to 35,white,male,24,1,1
2009001387742,1,20 to 35,white,male,32,1,1
2010000007056,1,20 to 35,white,male,31,1,1
2010000017469,1,20 to 35,white,male,30,1,1
