state,pumano,hhid,serialno,inc,child,veh,wkr
35,602,524,2.009E+12,1,2,2,3
35,601,525,2.009E+12,3,2,3,2
35,603,526,2.009E+12,4,2,3,2
35,500,527,2.009E+12,4,1,5,4
35,601,528,2.009E+12,5,1,4,3
35,500,529,2.009E+12,2,2,3,1
35,601,530,2.009E+12,5,1,3,3
35,601,531,2.009E+12,5,2,5,3
35,605,532,2.009E+12,3,2,5,2
35,500,533,2.009E+12,2,2,2,2
35,602,534,2.009E+12,3,2,3,3
35,603,535,2.009E+12,3,2,3,2
35,603,536,2.009E+12,1,1,2,1
35,601,537,2.009E+12,2,2,2,2
35,500,538,2.009E+12,5,2,3,3
35,602,539,2.009E+12,1,2,1,1
35,603,540,2.009E+12,3,2,3,1
35,500,541,2.009E+12,5,1,2,3
35,500,542,2.009E+12,2,2,4,2
35,605,543,2.009E+12,2,1,2,3
35,603,544,2.009E+12,4,2,5,4
35,605,545,2.009E+12,5,2,3,3
35,601,546,2.009E+12,2,2,2,2
35,604,547,2.009E+12,3,2,1,2
35,500,548,2.009E+12,4,2,3,1
35,500,549,2.009E+12,5,2,3,1
35,500,550,2.009E+12,5,2,3,3
35,603,551,2.009E+12,2,2,4,3
35,601,552,2.009E+12,2,2,4,1
35,500,553,2.009E+12,2,1,5,2
35,605,554,2.009E+12,3,1,3,3
35,500,555,2.009E+12,3,1,2,2
35,602,556,2.009E+12,1,2,1,1
35,500,557,2.009E+12,4,2,3,3
35,605,558,2.009E+12,2,2,2,2
35,604,559,2.009E+12,1,2,2,2
35,602,560,2.009E+12,1,2,2,2
35,605,561,2.009E+12,4,2,3,4
35,500,562,2.009E+12,1,2,3,1
35,605,563,2.009E+12,2,2,1,1
35,500,564,2.009E+12,4,2,3,2
35,601,565,2.009E+12,1,2,3,1
35,605,566,2.009E+12,1,2,2,1
35,604,567,2.009E+12,2,2,4,1
35,601,568,2.009E+12,5,1,4,3
35,603,569,2.009E+12,5,1,3,3
35,500,570,2.009E+12,3,2,3,2
35,603,571,2.009E+12,2,2,2,1
35,500,572,2.009E+12,5,2,5,1
35,603,573,2.009E+12,3,1,2,2
35,605,574,2.009E+12,4,2,3,2
35,500,575,2.009E+12,5,1,2,3
35,602,576,2.009E+12,5,2,4,3
35,601,577,2.009E+12,2,1,3,2
35,500,578,2.009E+12,1,2,2,1
35,500,579,2.009E+12,3,2,2,1
35,604,580,2.009E+12,3,2,2,1
35,500,581,2.009E+12,3,2,4,3
35,500,582,2.009E+12,5,1,2,3
35,602,583,2.009E+12,3,1,3,3
35,500,584,2.009E+12,2,1,3,1
35,601,585,2.009E+12,2,1,3,3
35,602,586,2.009E+12,4,1,3,3
35,603,587,2.009E+12,2,2,3,1
35,604,588,2.009E+12,2,2,2,2
35,603,589,2.009E+12,3,1,5,3
35,601,590,2.009E+12,3,2,3,1
35,603,591,2.009E+12,3,1,3,3
35,500,592,2.009E+12,4,2,3,2
35,601,593,2.009E+12,1,1,3,2
35,601,594,2.009E+12,3,1,2,3
35,601,595,2.009E+12,3,1,2,3
35,605,596,2.009E+12,3,1,3,3
35,500,597,2.009E+12,5,2,5,2
35,602,598,2.009E+12,2,2,2,1
35,500,599,2.009E+12,1,2,2,3
35,605,600,2.009E+12,5,2,1,2
35,604,601,2.009E+12,1,2,3,3
35,500,602,2.009E+12,2,2,4,3
35,603,603,2.009E+12,3,2,3,3
35,604,604,2.009E+12,1,2,2,2
35,602,605,2.009E+12,1,2,2,1
35,603,606,2.009E+12,3,2,2,2
35,500,607,2.009E+12,4,1,4,3
35,604,608,2.009E+12,2,2,2,1
35,601,609,2.009E+12,5,1,3,2
35,602,610,2.009E+12,4,2,3,3
35,500,611,2.009E+12,5,1,4,3
35,602,612,2.009E+12,1,2,3,1
35,605,613,2.009E+12,3,1,2,2
35,604,614,2.009E+12,5,2,3,3
35,605,615,2.009E+12,2,1,4,2
35,602,616,2.009E+12,1,2,1,1
35,601,617,2.009E+12,3,2,2,2
35,605,618,2.009E+12,4,2,3,3
35,601,619,2.009E+12,5,1,3,2
35,601,620,2.009E+12,1,2,3,3
35,605,621,2.009E+12,3,2,3,3
35,605,622,2.009E+12,3,1,4,2
35,500,623,2.009E+12,5,2,3,3
35,603,624,2.009E+12,2,2,3,1
35,602,625,2.009E+12,5,2,2,2
35,500,626,2.009E+12,2,1,3,3
35,500,627,2.009E+12,4,2,4,3
35,603,628,2.009E+12,2,1,2,2
35,601,629,2.009E+12,2,2,3,2
35,601,630,2.009E+12,1,2,2,1
35,603,631,2.009E+12,3,2,1,1
35,601,632,2.009E+12,4,1,3,2
35,601,633,2.009E+12,2,2,1,2
35,500,634,2.009E+12,5,2,4,4
35,601,635,2.009E+12,5,1,5,4
35,603,636,2.009E+12,4,1,1,2
35,602,637,2.009E+12,4,1,3,3
35,605,638,2.009E+12,3,2,3,3
35,500,639,2.009E+12,3,2,3,2
35,601,640,2.009E+12,2,2,3,1
35,601,641,2.009E+12,5,2,4,3
35,601,642,2.009E+12,4,1,4,3
35,601,643,2.009E+12,5,2,5,4
35,603,644,2.009E+12,3,2,2,2
35,500,645,2.009E+12,2,2,2,2
35,603,646,2.009E+12,5,2,4,3
35,601,647,2.009E+12,2,1,4,2
35,601,648,2.009E+12,2,2,2,1
35,604,649,2.009E+12,4,2,3,1
35,604,650,2.009E+12,5,1,4,3
35,500,651,2.009E+12,3,1,3,3
35,605,652,2.009E+12,1,2,2,1
35,601,653,2.009E+12,3,2,2,1
35,603,654,2.009E+12,5,1,1,3
35,601,655,2.009E+12,5,1,3,3
35,603,656,2.009E+12,4,2,3,1
35,601,657,2.009E+12,2,2,2,2
35,500,658,2.009E+12,3,1,2,1
35,603,659,2.009E+12,4,2,5,2
35,602,660,2.009E+12,3,2,2,2
35,605,661,2.009E+12,1,2,2,1
